YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2018.0,Chevrolet,Suburban 4WD FFV,SUV: Standard,5.3,8.0,A6,X,15.3,10.9,13.3,21.0,312.0
2015.0,MINI,COOPER COUPE,TWO-SEATER,1.6,4.0,AS6,Z,8.5,6.5,7.6,37.0,175.0
2008.0,TOYOTA,TACOMA,PICKUP TRUCK - SMALL,4.0,6.0,M6,X,13.5,10.1,12.0,24.0,276.0
2002.0,VOLVO,S60 T5 TURBO,COMPACT,2.3,5.0,M5,Z,11.7,8.0,10.0,28.0,230.0
2019.0,Ford,Mustang Convertible,Subcompact,5.0,8.0,AS10,X,15.4,9.7,12.9,22.0,302.0
2015.0,CHRYSLER,200 FFV,MID-SIZE,3.6,6.0,A9,E,16.5,10.1,13.6,21.0,218.0
2017.0,NISSAN,SENTRA (Turbo),MID-SIZE,1.6,4.0,M6,Z,9.1,7.3,8.3,34.0,195.0
2011.0,CHEVROLET,HHR PANEL,SUV,2.2,4.0,M5,X,9.2,6.2,7.8,36.0,179.0
2009.0,BMW,335i CABRIOLET,SUBCOMPACT,3.0,6.0,A6,Z,11.9,7.6,10.0,28.0,230.0
2015.0,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,14.9,10.7,13.0,22.0,299.0
2013.0,FORD,FIESTA,SUBCOMPACT,1.6,4.0,A6,X,6.9,5.1,6.1,46.0,140.0
2007.0,FORD,GRAND MARQUIS,FULL-SIZE,4.6,8.0,A4,X,14.3,9.3,12.0,24.0,276.0
2017.0,CHEVROLET,CAMARO,SUBCOMPACT,2.0,4.0,AS8,Z,10.9,7.7,9.5,30.0,222.0
2001.0,KIA,MAGENTIS,COMPACT,2.4,4.0,A4,X,11.8,8.1,10.1,28.0,232.0
2022.0,Jeep,Grand Cherokee 4X4,SUV: Standard,5.7,8.0,A8,X,16.7,10.9,14.1,20.0,331.0
2019.0,Porsche,911 GT3 Touring,Two-seater,4.0,6.0,M6,Z,16.4,11.2,14.1,20.0,334.0
2008.0,DODGE,CHARGER,FULL-SIZE,3.5,6.0,AS5,X,12.5,8.1,10.5,27.0,242.0
2013.0,BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6.0,A6,Z,11.4,7.4,9.6,29.0,221.0
2017.0,JAGUAR,XF 35t AWD,MID-SIZE,3.0,6.0,AS8,Z,12.0,8.4,10.4,27.0,243.0
2018.0,Ram,1500 FFV,Pickup truck: Standard,3.6,6.0,A8,X,13.9,9.6,11.9,24.0,280.0
2018.0,MINI,John Cooper Works,Subcompact,2.0,4.0,AS6,Z,9.3,7.3,8.4,34.0,197.0
2018.0,Chevrolet,Silverado,Pickup truck: Standard,6.2,8.0,A8,Z,15.9,11.2,13.8,20.0,324.0
2007.0,PONTIAC,WAVE,COMPACT,1.6,4.0,M5,X,8.9,5.9,7.5,38.0,172.0
2021.0,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8.0,AS8,Z,14.0,9.7,12.0,24.0,281.0
2001.0,TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.7,4.0,A4,X,12.5,10.3,11.5,25.0,264.0
2021.0,Ford,Bronco 4WD,SUV: Small,2.7,6.0,AS10,X,12.8,11.6,12.2,23.0,287.0
2021.0,Hyundai,Elantra (ISG),Mid-size,2.0,4.0,AV1,X,7.1,5.5,6.4,44.0,152.0
2005.0,VOLVO,S40 2.5T TURBO,COMPACT,2.5,5.0,M6,Z,10.8,6.9,9.1,31.0,209.0
2007.0,CHEVROLET,EXPRESS PASSENGER FFV,VAN - PASSENGER,5.3,8.0,A4,X,16.8,12.0,14.7,19.0,338.0
2008.0,CHRYSLER,300C SRT8,FULL-SIZE,6.1,8.0,AS5,Z,16.5,10.9,14.0,20.0,322.0
2005.0,LEXUS,SC 430,MINICOMPACT,4.3,8.0,A5,Z,13.3,9.3,11.5,25.0,264.0
2000.0,OLDSMOBILE,ALERO,COMPACT,2.4,4.0,A4,X,10.7,7.1,9.1,31.0,209.0
2017.0,BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6.0,AS8,Z,12.7,9.1,11.1,25.0,260.0
2005.0,MAZDA,MAZDA6,MID-SIZE,2.3,4.0,M5,X,10.1,7.0,8.7,32.0,200.0
2015.0,DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A8,E,16.8,10.3,13.9,20.0,222.0
2004.0,GMC,K1500 YUKON DENALI XL AWD FFV,SUV,5.3,8.0,A4,X,19.5,14.3,17.2,16.0,396.0
2004.0,ACURA,1.7EL,COMPACT,1.7,4.0,M5,X,7.8,6.1,7.0,40.0,161.0
2008.0,PORSCHE,CAYENNE S,SUV,4.8,8.0,AS6,Z,16.3,10.5,13.7,21.0,315.0
2009.0,GMC,YUKON HYBRID,SUV,6.0,8.0,AV,X,9.8,9.2,9.5,30.0,218.0
2021.0,Lexus,NX 300h AWD,SUV: Small,2.5,4.0,AV6,X,7.2,7.9,7.5,38.0,175.0
2019.0,Dodge,Journey FFV,SUV: Small,3.6,6.0,A6,E,19.1,13.2,16.4,17.0,274.0
2004.0,TOYOTA,COROLLA MATRIX #,STATION WAGON - SMALL,1.8,4.0,M6,Z,9.5,6.8,8.3,34.0,191.0
2000.0,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8.0,M5,X,20.1,13.0,16.9,17.0,389.0
2009.0,BUICK,ALLURE,MID-SIZE,5.3,8.0,A4,Z,12.9,8.1,10.8,26.0,248.0
2019.0,Ford,F-150 FFV,Pickup truck: Standard,5.0,8.0,AS10,X,13.9,10.2,12.2,23.0,287.0
2012.0,KIA,SOUL,STATION WAGON - SMALL,1.6,4.0,M6,X,8.1,6.5,7.4,38.0,170.0
2021.0,Chevrolet,Silverado 4WD,Pickup truck: Standard,4.3,6.0,A6,X,15.8,11.9,14.0,20.0,329.0
2003.0,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,1.8,4.0,M6,Z,11.8,7.6,9.9,29.0,228.0
2017.0,NISSAN,ROGUE AWD,SUV - SMALL,2.5,4.0,AV,X,9.6,7.4,8.6,33.0,203.0
2001.0,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8.0,A4,X,18.2,11.9,15.4,18.0,354.0
2000.0,FORD,F150,PICKUP TRUCK - STANDARD,5.4,8.0,A4,X,16.1,11.3,13.9,20.0,320.0
2004.0,CHRYSLER,SEBRING,MID-SIZE,2.7,6.0,A4,X,11.2,7.8,9.7,29.0,223.0
2004.0,MAZDA,TRIBUTE 4X4,SUV,3.0,6.0,A4,X,13.0,9.2,11.3,25.0,260.0
2015.0,INFINITI,Q50 AWD,MID-SIZE,3.7,6.0,AS7,Z,12.5,8.7,10.8,26.0,248.0
2014.0,FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8.0,A6,E,22.3,15.4,19.2,15.0,307.0
2021.0,Maserati,Quattroporte Trofeo,Full-size,3.8,8.0,A8,Z,17.4,11.9,14.9,19.0,348.0
2013.0,MINI,COOPER CONVERTIBLE,MINICOMPACT,1.6,4.0,M6,Z,7.4,5.7,6.6,43.0,152.0
2008.0,GMC,YUKON DENALI AWD,SUV,6.2,8.0,A6,Z,17.7,10.8,14.6,19.0,336.0
2021.0,Audi,A5 Coupe 45 TFSI quattro,Subcompact,2.0,4.0,AM7,Z,9.8,7.6,8.8,32.0,205.0
2016.0,RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,13.9,9.5,11.9,24.0,279.0
2004.0,MERCEDES-BENZ,G 55 AMG #,SUV,5.4,8.0,A5,Z,17.4,14.3,16.0,18.0,368.0
2008.0,LEXUS,GX 470,SUV,4.7,8.0,A5,Z,15.3,11.4,13.6,21.0,313.0
2015.0,PORSCHE,911 TARGA 4S,MINICOMPACT,3.8,6.0,AM7,Z,12.8,9.3,11.2,25.0,258.0
2007.0,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.7,6.0,M6,X,13.5,10.3,12.1,23.0,278.0
2022.0,Land Rover,Range Rover Sport HST P400,SUV: Standard,3.0,6.0,AS8,Z,12.7,9.9,11.4,25.0,269.0
2012.0,AUDI,Q7,SUV,3.0,6.0,AS8,Z,13.6,9.3,11.6,24.0,267.0
2013.0,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6.0,A8,X,11.4,7.3,9.5,30.0,218.0
2021.0,Volkswagen,Golf,Compact,1.4,4.0,AS8,X,8.2,6.5,7.5,38.0,174.0
2020.0,Ford,F-150 FFV,Pickup truck: Standard,3.3,6.0,AS6,E,16.6,12.6,14.8,19.0,245.0
2019.0,Lexus,LX 570,SUV: Standard,5.7,8.0,AS8,Z,18.2,12.8,15.8,18.0,371.0
2012.0,MAZDA,MAZDA3 DI 5-DOOR,MID-SIZE,2.0,4.0,M6,X,7.6,5.1,6.5,43.0,150.0
